Material ID,Formula,Chemical System,Density,Volume,Number of Sites,Number of Elements,Crystal System,Space Group Number,Mean Atomic Mass,Volume per Atom
mp-604717,SiO2,Si-O,1.317956234233412,908.4276851127072,36,2,Tetragonal,92,20.028100000000002,25.234102364241867
mp-615993,SiO2,Si-O,1.8140142435890498,770.0119175130222,42,2,Monoclinic,12,20.028100000000002,18.333617083643386
mp-638033,SiO2,Si-O,2.3061412347013177,346.1100337738232,24,2,Tetragonal,95,20.0281,14.421251407242634
mp-638035,SiO2,Si-O,3.222079185841289,185.79120218485738,18,2,Trigonal,167,20.028100000000002,10.321733454714298
mp-638038,SiO2,Si-O,1.9952274124267835,400.04393266573027,24,2,Tetragonal,125,20.0281,16.66849719440543
mp-638049,SiO2,Si-O,3.094817840073901,386.8621653402159,36,2,Cubic,210,20.028100000000002,10.746171259450442
mp-638900,Si3O7,Si-O,0.9704397225621314,671.6225726107249,20,2,Triclinic,1,19.62523,33.58112863053624
mp-639463,SiO2,Si-O,1.8908492628962963,316.5952872178218,18,2,Orthorhombic,51,20.028100000000002,17.588627067656766
mp-639478,SiO2,Si-O,1.4217870671389254,1684.1733317405847,72,2,Cubic,221,20.028100000000002,23.39129627417479
mp-639480,SiO2,Si-O,1.6717314465338393,1074.2765532947255,54,2,Tetragonal,131,20.0281,19.894010246198622
mp-639506,SiO2,Si-O,1.854004578798761,1291.5479763488484,72,2,Orthorhombic,24,20.028100000000002,17.938166338178448
mp-639511,SiO2,Si-O,1.6422204987336433,972.072412011876,48,2,Tetragonal,139,20.0281,20.25150858358075
mp-639512,SiO2,Si-O,1.755933853439469,2613.7243493716082,138,2,Cubic,223,20.028100000000002,18.940031517185567
mp-639558,SiO2,Si-O,1.55320169045212,1798.6235717981253,84,2,Orthorhombic,65,20.028100000000002,21.41218537854911
mp-639682,SiO2,Si-O,1.58982169377308,627.5692926413844,30,2,Tetragonal,119,20.028100000000002,20.91897642137948
mp-639695,SiO2,Si-O,1.721271990097395,927.4288145297897,48,2,Orthorhombic,51,20.0281,19.321433636037288
mp-639705,SiO2,Si-O,1.6261310357175365,1227.1130110333947,60,2,Tetragonal,141,20.028100000000002,20.451883517223244
mp-639724,SiO2,Si-O,1.6483862556130857,968.4363939722516,48,2,Orthorhombic,63,20.0281,20.17575820775524
mp-639733,SiO2,Si-O,1.811518524701814,1321.839014747692,72,2,Orthorhombic,29,20.028100000000002,18.358875204829058
mp-639734,SiO2,Si-O,1.7745634207968008,899.5774524319761,48,2,Tetragonal,139,20.0281,18.74119692566617
mp-639741,SiO2,Si-O,1.449546628789006,1651.9205483506967,72,2,Cubic,229,20.028100000000002,22.943340949315232
mp-639748,SiO2,Si-O,1.4490182931589237,2478.784298163184,108,2,Orthorhombic,60,20.0281,22.951706464473926
mp-640357,Al2SiO5,Si-Al-O,2.9921124465011517,359.72312765310147,32,3,Triclinic,2,20.25569715,11.241347739159421
mp-640556,SiO2,Si-O,2.249445830110738,1064.500344856563,72,2,Monoclinic,9,20.028100000000002,14.78472701189671
mp-640917,SiO2,Si-O,2.2756436881195006,131.53068922818633,9,2,Trigonal,154,20.028100000000002,14.614521025354037
mp-644923,SiO2,Si-O,1.6992833829447123,2818.289033980328,144,2,Tetragonal,119,20.028100000000002,19.57145162486339
